日時,外気温度[℃],外気絶対湿度[kg/kg(DA)],窓開閉,在室状況,最終空調状態,空気温度[℃],室相対湿度[%],室絶対湿度[kg/kg(DA)],室MRT[℃],室作用温度[℃],透過日射熱取得[W],機器顕熱発熱[W],照明発熱[W],人体顕熱発熱[W],人体潜熱発熱[W],対流空調顕熱負荷[W],放射空調顕熱負荷[W],対流空調潜熱負荷[W],家具温度[℃],家具取得熱量[W],家具吸収日射熱量[W],家具絶対湿度[kg/kg(DA)],家具取得水蒸気量[kg/s],OW1_表面温度[℃],OW1_window_表面温度[℃],GR1_表面温度[℃],OW2_表面温度[℃],OW2_表面温度[℃],OW1_等価室温[℃],OW1_window_等価室温[℃],GR1_等価室温[℃],OW2_等価室温[℃],OW2_等価室温[℃],OW1_境界温度[℃],OW1_window_境界温度[℃],GR1_境界温度[℃],OW2_境界温度[℃],OW2_境界温度[℃],OW1_表面放射熱流[W],OW1_window_表面放射熱流[W],GR1_表面放射熱流[W],OW2_表面放射熱流[W],OW2_表面放射熱流[W],OW1_表面対流熱流[W],OW1_window_表面対流熱流[W],GR1_表面対流熱流[W],OW2_表面対流熱流[W],OW2_表面対流熱流[W]
1989-01-01 00:00:00,2.3,0.0032,0,0,0,19.26,58,0.0081,16.59,17.93,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,20.50,-296.2,0.0,0.00811,0.00000,18.00,12.80,16.03,19.04,12.61,17.11,17.54,16.87,17.27,17.27,0.80,0.97,15.69,0.80,0.97,-141.85,46.95,32.84,-167.31,229.36,38.69,60.77,81.64,6.65,195.41
1989-01-01 01:00:00,2.6,0.0033,0,0,0,18.60,61,0.0081,16.31,17.46,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,19.66,-253.4,0.0,0.00811,0.00000,17.72,12.59,15.73,18.67,12.42,16.72,17.10,16.52,16.87,16.87,1.15,1.31,15.69,1.15,1.31,-141.84,46.04,34.47,-162.32,223.64,27.16,56.60,72.54,-2.00,181.66
1989-01-01 02:00:00,2.9,0.0032,0,0,0,18.04,63,0.0081,16.05,17.04,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,18.94,-217.4,0.0,0.00811,0.00000,17.45,12.39,15.46,18.33,12.25,16.38,16.71,16.20,16.51,16.51,1.45,1.61,15.69,1.45,1.61,-141.13,45.09,35.27,-157.22,217.98,18.11,53.07,65.06,-8.48,170.07
1989-01-01 03:00:00,2.8,0.0032,0,0,0,17.52,65,0.0081,15.77,16.65,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,18.31,-190.2,0.0,0.00811,0.00000,17.18,12.12,15.18,17.99,11.99,16.04,16.33,15.87,16.15,16.15,1.45,1.60,15.69,1.45,1.60,-142.15,44.96,34.48,-153.76,216.47,10.63,50.81,59.04,-13.63,162.55
1989-01-01 04:00:00,2.4,0.0033,0,0,0,17.04,67,0.0081,15.46,16.25,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,17.75,-171.0,0.0,0.00811,0.00000,16.90,11.74,14.89,17.65,11.62,15.68,15.95,15.53,15.78,15.78,1.10,1.24,15.69,1.10,1.24,-145.33,45.79,32.11,-152.22,219.64,4.24,49.79,54.19,-17.90,159.05
1989-01-01 05:00:00,2.4,0.0033,0,0,0,16.61,69,0.0081,15.20,15.91,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,17.25,-152.2,0.0,0.00811,0.00000,16.63,11.52,14.64,17.32,11.41,15.37,15.62,15.23,15.47,15.47,1.15,1.29,15.69,1.15,1.29,-144.49,45.27,30.69,-148.04,216.57,-0.48,47.89,49.75,-20.71,152.79
1989-01-01 06:00:00,2.8,0.0033,0,0,0,16.26,71,0.0081,15.00,15.63,0.00,66.93,0.00,0.00,0.00,0.0,0.0,0.0,16.81,-132.9,0.0,0.00811,0.00000,16.37,11.47,14.45,17.01,11.37,15.13,15.36,15.01,15.22,15.22,1.65,1.78,15.69,1.65,1.78,-139.46,43.29,30.50,-141.05,206.73,-3.58,44.98,45.65,-22.10,143.40
1989-01-01 07:00:00,2.3,0.0032,0,0,1,22.00,49,0.0081,15.82,18.91,10.03,66.93,0.00,0.00,0.00,1562.9,0.0,0.0,19.11,693.0,5.0,0.00811,0.00000,16.59,13.45,16.01,17.23,13.05,17.41,18.33,16.91,17.77,17.77,1.20,1.28,15.69,1.20,1.28,-72.63,30.43,-30.78,-92.53,165.51,166.04,80.40,151.22,139.95,262.75
1989-01-01 08:00:00,2.3,0.0033,0,1,1,22.00,48,0.0079,16.65,19.32,940.81,269.10,184.84,213.00,144.00,664.8,0.0,0.0,21.26,178.8,470.4,0.00793,-0.00005,16.86,13.93,17.99,17.76,14.65,18.24,19.00,19.30,20.01,20.01,1.91,1.28,15.69,6.25,1.28,1.10,39.28,-123.58,-54.32,137.52,157.74,75.90,101.27,124.59,215.88
1989-01-01 09:00:00,3.7,0.0033,0,1,0,25.18,41,0.0081,19.11,22.15,3056.65,269.10,209.10,142.00,96.00,0.0,0.0,0.0,25.81,-149.2,1528.3,0.00807,0.00003,17.59,16.56,23.48,19.26,19.67,21.54,22.27,25.93,26.61,26.61,4.02,2.32,15.69,18.81,2.32,221.95,48.58,-362.79,58.61,33.65,233.42,81.07,43.15,173.98,162.10
